,train_loss,train_acc,val_loss,val_acc,epochs,Clipping
0,38.934432024833484,0.9782255722926213,39.20580400134019,0.9666956547258553,19,0
1,38.943790345731394,0.9752570094301741,39.214039813962756,0.9693868168398865,17,0
2,39.16103058016182,0.9786440006765389,38.754864306327626,0.9685002049829206,20,0
3,38.93578918652657,0.9781320981490307,39.205452980737455,0.9699315725420051,20,1
4,38.93384959185535,0.9782498368161469,39.212269161909056,0.968970447116428,20,1
5,39.16254617800864,0.9787915442797531,38.75729454888238,0.9665959749466334,20,1
6,38.93650024283645,0.9779082491866544,39.20792917073524,0.9705689366468377,19,2
7,38.942346091403394,0.9756740828811479,39.215456044775806,0.96751509813162,17,2
8,39.16746492185166,0.9767494607450564,38.75445679232605,0.9683180963891185,17,2
9,38.94630142603165,0.9748977378902273,39.20850993211237,0.968409484687256,15,5
10,38.94461022975951,0.9746428441764478,39.21926026955629,0.9685206278776511,16,5
11,39.17634571292642,0.9742307539819564,38.761385573688734,0.9655548812996628,14,5
