,train_loss,train_acc,val_loss,val_acc,epochs,batch size
0,38.98509198702299,0.9658686093794994,39.23570737571855,0.9592821432647224,20,256
1,38.985655829942374,0.9659458747239669,39.23997078267937,0.9616486056238158,20,256
2,39.21510124063914,0.9653871547155765,38.79041317670773,0.9602508183218476,20,256
3,38.96327918289054,0.9717926223053891,39.224998263868606,0.9632371144528014,20,128
4,38.95955849569993,0.9721272000198296,39.22609888712565,0.965811429064498,20,128
5,39.18547179869334,0.9729131364616086,38.77024736974993,0.9654989751995119,20,128
6,38.93485278268146,0.979654466188871,39.21386085629234,0.9676495564083237,20,64
7,38.95246339320576,0.9737800204108228,39.22183577056624,0.9649417172130357,14,64
8,39.16369486848407,0.9787878570629482,38.763423926198584,0.968347547808264,20,64
9,38.92342830560146,0.9837420095745315,39.210591201521446,0.9687686872212353,19,32
10,38.9296056777796,0.9809930402299633,39.21792212592231,0.9702441500802326,16,32
11,39.17122086316217,0.9757640876012051,38.76499980698284,0.9657197870759883,12,32
