,train_loss,train_acc,val_loss,val_acc,epochs,Dropout
0,38.9278450533875,0.9843558955396342,39.22079627826106,0.9654217691305381,9,0.0
1,38.912317031291465,0.9905682196666536,39.2367934528579,0.9630049244970338,11,0.0
2,39.14840105763996,0.9863961169434694,38.76903616750342,0.9684463875925439,10,0.0
3,38.920836078611195,0.9859833192621541,39.21545120162654,0.9663487580871256,12,0.05
4,38.93772689196661,0.9789981088084602,39.22195065490201,0.969514747766348,9,0.05
5,39.153714807863075,0.9827334390989596,38.768852279532666,0.9676780761816562,11,0.05
6,38.935677135500136,0.9795257229071397,39.21238316269263,0.9667645181200745,10,0.1
7,38.929016094739566,0.9813006619219723,39.218160365178036,0.9704852825556046,12,0.1
8,39.14277005305136,0.9875640270483569,38.76755581065121,0.9703539885007418,16,0.1
9,38.937640413463626,0.9779467460436698,39.20993646549583,0.9682231227497442,15,0.25
10,38.95212620173926,0.9717385918204441,39.22419633131761,0.9613429587111514,11,0.25
11,39.161377890397056,0.9774308648708985,38.76086432954185,0.9660528358231243,20,0.25
12,38.96200264172676,0.967150089577732,39.20990581263897,0.9624956832230537,20,0.5
13,38.963582229899515,0.9652645984287892,39.21292234241453,0.9680543271904318,20,0.5
14,39.192075814743376,0.9654769901408686,38.758749389648436,0.9665381928794404,20,0.5
