,train_loss,train_acc,val_loss,val_acc,epochs,Hidden
0,38.934497771303874,0.9796267461572957,39.21441838354719,0.9664800452819315,14,10
1,38.93761482682955,0.9789871423688407,39.21847139016176,0.9676439859928229,11,10
2,39.149894295028105,0.9851175161231189,38.76358877328726,0.9681645511561989,14,10
3,38.936890626565,0.9788445661210606,39.212939055193644,0.9677141544478135,11,20
4,38.917654315193374,0.9863856747522018,39.22081356211605,0.9679231476579976,15,20
5,39.148478794984236,0.9850000216975934,38.7633667187813,0.9686239584898337,14,20
6,38.94336717393663,0.9771987011290004,39.219338321502434,0.9677658451848803,9,50
7,38.928191420232466,0.9811357168442749,39.21827387361445,0.9694337865226289,11,50
8,39.153215769989956,0.9829631604237532,38.76474560468625,0.9687709792047484,12,50
9,38.91896650526259,0.9854297575787602,39.213739413885044,0.9684055200424797,13,100
10,38.92184108460692,0.9839785478204479,39.21556204119299,0.9713841303800925,12,100
11,39.15343601914275,0.9823523679167755,38.763598371978496,0.9693448429433709,11,100
